Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
testTunnel_testSuite2,Chrome 114.0.0.0,,,2023-07-26 17:24:16,2023-07-26 17:24:40,24.242s,PASSED
,,,,,,,
Test Cases/TestTunnel2,Chrome 114.0.0.0,,,2023-07-26 17:24:16,2023-07-26 17:24:40,24.003s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-26 17:24:17,2023-07-26 17:24:21,4.040s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-26 17:24:21,2023-07-26 17:24:21,0.158s,PASSED
"navigateToUrl(""https://www.youtube.com/"")",Chrome 114.0.0.0,,,2023-07-26 17:24:21,2023-07-26 17:24:36,15.062s,PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-26 17:24:36,2023-07-26 17:24:39,3.030s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-07-26 17:24:39,2023-07-26 17:24:40,1.404s,PASSED
