Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Orange HRM PerformanceHRM,Chrome 115.0.0.0,,,2023-07-28 18:49:22,2023-07-28 18:50:10,47.641s,PASSED
,,,,,,,
Test Cases/Orange HRM Perfomance,Chrome 115.0.0.0,,,2023-07-28 18:49:23,2023-07-28 18:50:10,47.301s,PASSED
"callTestCase(findTestCase(""Orange HRM LogIN""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-28 18:49:23,2023-07-28 18:50:02,39.073s,PASSED
"click(findTestObject(""Object Repository/OrangeHRM Perfomance/Page_OrangeHRM/span_Performance""))",Chrome 115.0.0.0,,,2023-07-28 18:50:02,2023-07-28 18:50:05,3.186s,PASSED
"setText(findTestObject(""Object Repository/OrangeHRM Perfomance/Page_OrangeHRM/input""), ""satyasai"")",Chrome 115.0.0.0,,,2023-07-28 18:50:05,2023-07-28 18:50:08,2.330s,PASSED
"click(findTestObject(""Object Repository/OrangeHRM Perfomance/Page_OrangeHRM/button_Search""))",Chrome 115.0.0.0,,,2023-07-28 18:50:08,2023-07-28 18:50:08,0.511s,PASSED
"click(findTestObject(""Object Repository/OrangeHRM Perfomance/Page_OrangeHRM/button_Reset""))",Chrome 115.0.0.0,,,2023-07-28 18:50:08,2023-07-28 18:50:09,0.546s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-07-28 18:50:09,2023-07-28 18:50:10,1.309s,PASSED
